lr-AdamW,step,utils/points_in_common,train/loss_step,train/loss_cluster_step,train/loss_cluster_region_step,train/loss_w_ce_step,train/loss_w_reg_step,gamma_step,train/re_loss_w_ce_step,train/re_loss_w_reg_step,regamma_step,w/w0_step,w/w1_step,w/w2_step,w/w3_step,w/region_w0_step,w/region_w1_step,w/region_w2_step,w/region_w3_step,epoch,valid/loss,valid/IoU/person,valid/IoU/rider,valid/IoU/car,valid/IoU/trunk,valid/IoU/plants,valid/IoU/traffic sign,valid/IoU/pole,valid/IoU/trashcan,valid/IoU/building,valid/IoU/cone-stone,valid/IoU/fence,valid/IoU/bike,valid/IoU/other-ground,valid/mIoU,train/loss_epoch,train/loss_cluster_epoch,train/loss_cluster_region_epoch,train/loss_w_ce_epoch,train/loss_w_reg_epoch,gamma_epoch,train/re_loss_w_ce_epoch,train/re_loss_w_reg_epoch,regamma_epoch,w/w0_epoch,w/w1_epoch,w/w2_epoch,w/w3_epoch,w/region_w0_epoch,w/region_w1_epoch,w/region_w2_epoch,w/region_w3_epoch
,1199,0.9974350929260254,2.3399319648742676,0.41317838430404663,1.9267536401748657,0.03232021629810333,0.0026231706142425537,0.25,0.07305880635976791,0.5793142914772034,1.0,0.26270219683647156,0.21572494506835938,0.26506051421165466,0.25669074058532715,0.015522252768278122,0.46025925874710083,0.14041665196418762,0.3837912976741791,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1243,,,,,,,,,,,,,,,,,,,1,2.11763858795166,0.6213660836219788,0.5246572494506836,0.05469970032572746,0.19995656609535217,0.48946982622146606,0.1941835880279541,0.2807408571243286,0.05512351915240288,0.29546070098876953,0.07619395852088928,0.4376475512981415,0.46238911151885986,0.8243129253387451,0.34740012884140015,,,,,,,,,,,,,,,,,
,1243,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2.4004504680633545,0.46182575821876526,1.9386273622512817,0.04168779030442238,0.015334459021687508,0.25000011920928955,0.07152833789587021,0.5511200428009033,1.0000004768371582,0.26422980427742004,0.23472367227077484,0.25579988956451416,0.24549062550067902,0.016424966976046562,0.4477590024471283,0.16533511877059937,0.3704684376716614
0.000905463412215599,1249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1249,0.9924161434173584,2.241835117340088,0.330330491065979,1.9115045070648193,0.04375607892870903,0.0006453990936279297,0.25,0.06824111938476562,0.6511491537094116,1.0,0.2634073793888092,0.2605935335159302,0.23628222942352295,0.2398986518383026,0.011524327099323273,0.5173484683036804,0.13850098848342896,0.33261698484420776,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.000905463412215599,1299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1299,0.9941899180412292,2.302710771560669,0.37341827154159546,1.9292924404144287,0.041258495301008224,0.0024837255477905273,0.25,0.0802524983882904,0.5960351228713989,1.0,0.24805490672588348,0.27504366636276245,0.25451865792274475,0.222627654671669,0.015382767654955387,0.5527554154396057,0.18948468565940857,0.24237388372421265,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.000905463412215599,1349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1349,0.9978698492050171,2.3975236415863037,0.4628223180770874,1.9347013235092163,0.038461584597826004,0.02943432331085205,0.25,0.06470480561256409,0.48926040530204773,1.0,0.35304397344589233,0.19129300117492676,0.24040791392326355,0.21554143726825714,0.01942468248307705,0.46028393507003784,0.17896783351898193,0.3413168787956238,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.000905463412215599,1399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1399,0.9958893656730652,2.2436728477478027,0.3412213921546936,1.9024513959884644,0.03548160567879677,0.009795218706130981,0.25,0.06114688515663147,0.6725680232048035,1.0,0.20305322110652924,0.24968549609184265,0.250912606716156,0.29656165838241577,0.009134176187217236,0.36412352323532104,0.18025967478752136,0.44648006558418274,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.000905463412215599,1449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1449,0.9989429116249084,2.2099151611328125,0.28802913427352905,1.9218860864639282,0.03439575061202049,0.004326760768890381,0.25,0.0650726854801178,0.6124306321144104,1.0,0.28883251547813416,0.22941914200782776,0.239909365773201,0.24213312566280365,0.011547463946044445,0.4896886348724365,0.19248272478580475,0.3062685430049896,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.000905463412215599,1499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1499,0.9978070259094238,2.2005701065063477,0.2827231287956238,1.917846918106079,0.037524882704019547,0.008740514516830444,0.25,0.06854341179132462,0.5822733640670776,1.0,0.2709127366542816,0.22408384084701538,0.21305100619792938,0.29222023487091064,0.015370914712548256,0.46040552854537964,0.14325504004955292,0.3809655010700226,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.000905463412215599,1549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1549,0.995669960975647,2.459425449371338,0.5113179087638855,1.9481076002120972,0.03951924294233322,0.05972525477409363,0.125,0.07067304849624634,0.3795618712902069,1.0,0.38355058431625366,0.14144471287727356,0.26181089878082275,0.21349051594734192,0.030716076493263245,0.4348680377006531,0.19211216270923615,0.3423020839691162,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.000905463412215599,1599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1599,0.9967690110206604,2.3411409854888916,0.4370557367801666,1.9040851593017578,0.03974952921271324,0.05541202425956726,0.125,0.06926427781581879,0.5535909533500671,1.0,0.14391186833381653,0.3734479546546936,0.23899014294147491,0.24385516345500946,0.017171798273921013,0.5212942957878113,0.1725374162197113,0.28899645805358887,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.000905463412215599,1649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1649,0.994986355304718,2.2607274055480957,0.34370383620262146,1.9170236587524414,0.029426485300064087,0.0037213265895843506,0.125,0.05900692567229271,0.5682589411735535,1.0,0.2480572760105133,0.21810846030712128,0.28193041682243347,0.2521224617958069,0.015060897916555405,0.49111059308052063,0.17923986911773682,0.31458622217178345,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.000905463412215599,1699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1699,0.9937211871147156,2.41443133354187,0.4731493592262268,1.9412819147109985,0.04069577902555466,0.06955514848232269,0.125,0.07366278767585754,0.29810792207717896,1.0,0.38850054144859314,0.1410263180732727,0.2541567087173462,0.21656909584999084,0.043760836124420166,0.4705260097980499,0.19187554717063904,0.29383596777915955,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.000905463412215599,1749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1749,0.9945454597473145,2.4084396362304688,0.43240633606910706,1.976033329963684,0.03267187625169754,0.12487483024597168,0.125,0.07361993193626404,0.11885038018226624,1.0,0.4124491810798645,0.10681793838739395,0.29399365186691284,0.1869765818119049,0.1220557764172554,0.4714635908603668,0.187096506357193,0.2193838208913803,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.000905463412215599,1799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1799,0.9957184195518494,2.3388419151306152,0.3813800811767578,1.9574618339538574,0.02993169240653515,0.3457086980342865,0.125,0.06347758322954178,0.01937660574913025,1.0,0.5000291466712952,0.03870384022593498,0.233821839094162,0.22762185335159302,0.3239373564720154,0.26520782709121704,0.19000107049942017,0.2208540290594101,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
